Species_Name,n.plots,mean.years,min.years,max.years,FunGroup,new.code
Trifolium ciliolatum,6,1.666666667,1,3,Native Forb,TRICIL
Plectritis ciliosa,40,5.1,1,20,Native Forb,PLECIL
Triphysaria eriantha,54,3.944444444,1,19,Native Forb,TRIERI
Cardamine oligosperma,19,1.526315789,1,3,Native Forb,CAROLI
Nemophila menziesii,16,2.3125,1,7,Native Forb,NEMMEN
Trifolium dubium,30,1.6,1,4,Exotic Forb,TRIDUB
Nemophila pedunculata,4,1,1,1,Native Forb,NEMPED
Festuca bromoides,6,1.166666667,1,2,Exotic Grass,FESBRO
Antirrhinum vexillocalyculatum,4,2,1,5,Native Forb,ANTVEX
Polypogon monspeliensis,17,1.235294118,1,2,Exotic Grass,POLMON
Poa bulbosa,19,3.789473684,1,13,Exotic Grass,POABUL
Stellaria media,7,1,1,1,Exotic Forb,STEMED
Pectocarya pusilla,16,3.6875,1,10,Native Forb,PECPUS
Nemophila heterophylla,23,2.173913043,1,6,Native Forb,NEMHET
Melica imperfecta,5,1,1,1,Native Grass,MELIMP
Leptosiphon latisectus,5,6.2,4,9,Native Forb,LEPLAT
Crassula connata,16,2,1,4,Native Forb,CRACON
Trichostema laxum,1,3,3,3,Native Forb,TRILAX
Cynosurus echinatus,16,3.375,1,14,Exotic Grass,CYNECH
Aira caryophyllea,32,4.8125,1,12,Exotic Grass,AIRCAR
Trifolium depauperatum,17,1.470588235,1,4,Native Forb,TRIDEP
Layia platyglossa,2,1,1,1,Native Forb,LAYPLA
Linanthus dichotomus,1,1,1,1,Native Forb,LINDIC
Leptosiphon ciliatus,13,6.461538462,1,16,Native Forb,LEPCIL
Petrorhagia prolifera,3,1.666666667,1,2,Exotic Forb,PETPRO
Centaurea melitensis,56,5.75,1,19,Exotic Forb,CENMEL
Castilleja densiflora,11,8,1,18,Native Forb,CASDEN
Aphanes occidentalis,53,2.301886792,1,8,Native Forb,APHOCC
Layia septentrionalis,5,9.2,1,14,Native Forb,LAYSEP
Lupinus microcarpus,63,4.682539683,1,17,Native Forb,LUPMIC
Triphysaria versicolor,1,1,1,1,Native Forb,TRIVER
Hordeum depressum,2,1,1,1,Native Grass,HORDEP
Festuca octoflora,1,1,1,1,Native Grass,FESOCT
Carduus pycnocephalus,47,4.617021277,1,16,Exotic Forb,CARPYC
Eriogonum covilleanum,8,3.375,1,7,Native Forb,ERICOV
Phalaris paradoxa,16,3.3125,1,8,Exotic Grass,PHAPAR
Rumex crispus,2,2.5,2,3,Exotic Forb,RUMCRI
Collinsia heterophylla,5,1.4,1,3,Native Forb,COLHET
Daucus pusillus,78,5.205128205,1,18,Native Forb,DAUPUS
Erythranthe androsacea,3,1,1,1,Native Forb,ERYAND
Hesperevax sparsiflora,17,2.117647059,1,6,Native Forb,HESSPA
Astragalus rattanii var. jepsonianus,5,5.6,1,14,Native Forb,ASTRATJ
Bellardia trixago,7,2.428571429,1,10,Exotic Forb,BELTRI
Brassica nigra,10,3.5,1,13,Exotic Forb,BRANIG
Capsella bursa-pastoris,3,1,1,1,Exotic Forb,CAPBUR
